采样序号,轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,扭缆圈数,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,变频器冷却液液位要求,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,扭缆圈数,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩,变频器电网侧Cosphi,电网频率误差
0,8.55,264.0,0.32,0.34,0.32,10.8,11.4,10.9,0.0,-7.5,0.05,0.08,0.7,205.0,4.8,260.0,1.0,3.0,162.0,697.0,196.0,0.0,207.0,8.7,330.0,224.0,32.8,26.8,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.4,49.7,50.5,15.0,24.0,12.6,19.0,30.0,30.0,29.0,0.7,15.0,16.0,15.0,33.0,33.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,400.0,4.2,0.0,0.0,0.0,1.0,0.0
1,8.51,336.0,0.32,0.34,0.32,10.8,10.9,11.1,0.0,-6.8,0.02,0.07,0.7,204.7,4.4,260.0,1.0,3.0,162.0,696.0,196.0,-3.0,206.0,8.65,327.6,225.0,32.6,26.9,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.4,49.7,50.5,16.0,24.0,12.6,19.0,30.0,30.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,45.0,44.85,45.04,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
2,8.51,48.0,0.32,0.34,0.32,10.8,10.9,10.9,0.0,-5.3,0.05,0.09,0.7,204.9,4.4,260.0,1.0,3.0,168.0,697.0,203.0,-2.0,212.0,8.66,327.0,224.0,32.7,26.9,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.4,49.7,50.5,16.0,24.0,12.6,19.0,30.0,30.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
3,8.63,120.0,0.32,0.34,0.32,11.1,10.9,10.8,0.0,-5.4,-0.01,0.07,0.7,204.7,4.3,260.0,1.0,3.0,166.0,697.0,202.0,-3.0,214.0,8.72,326.1,224.0,32.5,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.4,49.7,50.5,16.0,24.0,12.6,19.0,30.0,30.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,410.0,4.1,0.0,0.0,0.0,1.0,0.0
4,8.59,192.0,0.32,0.34,0.32,11.6,10.9,10.6,0.0,-3.6,0.08,0.07,0.7,205.0,3.5,259.0,1.0,3.0,164.0,697.0,199.0,-4.0,213.0,8.7,328.0,230.0,32.7,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.4,49.7,50.5,17.0,24.0,12.6,19.0,30.0,30.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,420.0,4.0,0.0,0.0,0.0,1.0,0.0
5,8.58,264.0,0.32,0.34,0.32,11.4,10.9,10.6,0.0,-8.2,0.03,0.1,0.7,204.9,4.0,260.0,1.0,3.0,165.0,696.0,200.0,-2.0,211.0,8.69,332.6,230.0,32.5,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.4,49.7,50.5,16.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
6,8.5,336.0,0.32,0.34,0.32,11.0,11.4,10.6,0.0,-5.6,0.01,0.07,0.7,205.1,4.2,260.0,1.0,3.0,168.0,696.0,204.0,0.0,209.0,8.69,332.9,226.0,32.6,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.3,49.7,50.5,16.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,40.0,410.0,4.0,0.0,0.0,0.0,1.0,0.0
7,8.51,48.0,0.32,0.34,0.32,10.9,11.5,10.8,0.0,-1.9,0.09,0.07,0.7,204.9,4.0,259.0,1.0,3.0,165.0,697.0,199.0,-2.0,210.0,8.65,327.8,223.0,32.6,27.0,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.3,49.7,50.5,15.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,16.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,41.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
8,8.54,120.0,0.32,0.34,0.32,10.9,10.9,11.1,0.0,-2.5,-0.01,0.11,0.7,204.7,4.0,259.0,1.0,3.0,167.0,697.0,203.0,-3.0,215.0,8.73,325.6,225.0,32.7,26.9,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.3,49.7,50.5,15.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.03,42.0,400.0,4.0,0.0,0.0,0.0,1.0,0.0
9,8.52,192.0,0.32,0.34,0.32,10.8,10.9,10.9,0.0,-0.8,0.03,0.05,0.7,205.0,3.7,259.0,1.0,3.0,162.0,697.0,196.0,-4.0,211.0,8.71,326.7,226.0,32.8,27.1,0.0,2.3,0.0,2067.6,0.0,16.83,-0.3,16.6,18.6,16.4,16.7,15.9,18.2,15.6,17.3,49.7,50.5,15.0,24.0,12.6,19.0,30.0,31.0,29.0,0.7,15.0,15.0,15.0,33.0,34.0,34.0,24.0,24.0,26.0,44.99,44.85,45.04,42.0,400.0,4.1,0.0,0.0,0.0,1.0,0.0
