采样序号,轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,扭缆圈数,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,变频器冷却液液位要求,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,扭缆圈数,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩,变频器电网侧Cosphi,电网频率误差
0,10.78,256,0.36,0.37,0.37,11.1,11.1,11.3,11.01,-7.2,-0.05,0.06,0.5,208.1,6.0,194,1,1,344,686,410,1,430,11.1,520.0,361,31.0,31.1,0,3.0,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.4,36.4,32.0,32.3,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,53,520,5.3,0,0,0,1,0
1,10.74,328,0.36,0.37,0.37,11.3,11.3,11.4,10.89,-7.1,0.09,0.04,0.5,208.1,6.3,194,1,1,346,686,412,2,431,11.12,521.0,359,31.2,31.3,0,2.9,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.4,36.4,32.0,32.3,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,53,520,5.2,0,0,0,1,0
2,10.79,40,0.36,0.37,0.37,11.5,11.3,11.3,10.98,-6.3,-0.05,0.04,0.5,208.3,6.0,194,1,1,339,686,405,0,430,11.12,519.3,357,31.4,31.4,0,2.9,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.4,36.4,32.0,32.3,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,53,520,5.2,0,0,0,1,0
3,10.77,112,0.36,0.37,0.37,11.7,11.2,11.3,11.01,-5.6,0.05,0.04,0.5,208.0,6.2,194,1,1,340,686,405,-1,424,11.08,518.2,358,31.6,31.6,0,3.0,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.4,36.4,32.0,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.93,44.88,54,530,5.3,0,0,0,1,0
4,10.81,184,0.36,0.37,0.37,11.7,10.8,11.3,11.01,-7.0,-0.02,0.04,0.5,208.1,6.3,194,1,1,344,686,410,-2,432,11.1,518.9,360,31.1,31.3,0,3.0,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.4,36.5,31.9,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,54,530,5.3,0,0,0,1,0
5,10.77,256,0.36,0.37,0.37,11.2,11.0,11.4,10.99,-6.6,0.02,0.02,0.5,208.4,5.9,194,1,1,342,686,408,-1,433,11.09,522.3,361,31.1,31.3,0,3.0,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.4,36.5,31.9,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.3,0,0,0,1,0
6,10.73,328,0.36,0.37,0.37,11.1,11.3,11.3,11.01,-7.6,-0.03,0.04,0.5,208.4,6.3,194,1,1,345,686,407,2,424,11.07,520.8,357,31.2,31.4,0,2.9,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.3,38.3,36.5,31.9,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.89,53,530,5.3,0,0,0,1,0
7,10.73,40,0.36,0.37,0.37,11.4,11.4,11.4,10.85,-7.0,0.05,0.05,0.5,208.3,5.4,194,1,1,342,686,407,1,427,11.09,518.2,357,31.1,31.2,0,3.0,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.3,38.3,36.5,31.9,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.89,52,520,5.2,0,0,0,1,0
8,10.76,112,0.36,0.37,0.37,11.5,11.2,11.3,10.98,-6.7,-0.03,0.01,0.5,208.7,6.8,194,1,1,338,686,402,0,421,11.09,515.8,354,31.3,31.5,0,3.0,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.3,38.3,36.5,31.9,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.89,53,520,5.2,0,0,0,1,0
9,10.81,184,0.36,0.37,0.37,11.6,11.1,11.2,10.97,-6.7,0.03,0.06,0.5,208.4,5.1,194,1,1,346,686,412,1,429,11.1,516.1,358,31.6,31.6,0,3.0,0,1919.8,0,16.61,11.9,35.5,34.1,38.2,36.3,38.3,36.5,31.8,32.2,58.1,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,520,5.3,0,0,0,1,0
10,10.59,256,0.36,0.37,0.37,11.5,10.8,11.3,10.98,-6.1,0.0,0.04,0.5,208.2,6.6,194,1,1,344,686,409,-2,430,11.12,518.1,359,31.2,31.3,0,2.9,0,1919.8,0,16.61,11.9,35.5,34.1,38.2,36.3,38.3,36.5,31.8,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.3,0,0,0,1,0
11,10.75,328,0.36,0.37,0.37,11.2,11.0,11.3,11.02,-5.9,-0.02,0.04,0.5,208.4,5.2,194,1,1,343,686,409,-2,427,11.09,520.0,358,31.6,31.7,0,2.9,0,1919.8,0,16.61,11.9,35.5,34.1,38.2,36.3,38.3,36.5,31.8,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,530,5.3,0,0,0,1,0
12,10.73,40,0.36,0.37,0.37,11.2,11.3,11.4,10.92,-5.7,0.07,0.05,0.5,208.5,6.5,194,1,1,347,686,413,-2,431,11.09,518.4,357,31.1,31.4,0,2.9,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.3,36.4,31.9,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,53,530,5.3,0,0,0,1,0
13,10.73,112,0.36,0.37,0.37,11.4,11.3,11.4,10.9,-6.1,-0.07,0.06,0.5,208.2,6.6,194,1,1,337,686,401,-2,422,11.08,517.0,355,31.1,31.3,0,2.9,0,1919.8,0,16.61,12.0,35.5,34.1,38.2,36.2,38.3,36.4,32.0,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,52,530,5.2,0,0,0,1,0
14,10.6,184,0.36,0.37,0.37,11.6,11.1,11.3,11.02,-5.8,0.02,0.01,0.5,208.4,6.5,194,1,1,342,686,409,0,425,11.08,515.9,359,31.3,31.4,0,3.0,0,1919.8,0,16.61,12.0,35.4,34.1,38.2,36.2,38.4,36.4,32.1,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,53,520,5.2,0,0,0,1,0
15,10.85,256,0.36,0.37,0.37,11.6,10.9,11.2,11.02,-4.4,-0.01,0.08,0.5,208.1,5.8,193,1,1,345,686,411,0,430,11.1,517.5,358,31.5,31.7,0,3.0,0,1919.8,0,16.61,12.0,35.4,34.1,38.2,36.2,38.4,36.4,32.1,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.88,54,520,5.3,0,0,0,1,0
16,10.6,328,0.36,0.37,0.37,11.3,10.9,11.3,11.01,-3.2,0.02,0.03,0.5,208.4,5.9,193,1,1,341,686,408,0,427,11.1,519.0,360,31.5,31.6,0,3.0,0,1919.8,0,16.61,12.0,35.4,34.1,38.2,36.2,38.4,36.4,32.0,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.93,44.88,54,520,5.3,0,0,0,1,0
17,10.78,32,0.36,0.37,0.37,11.1,11.3,11.3,11.01,-3.0,-0.05,0.04,0.5,208.3,5.9,193,1,1,346,686,412,-4,430,11.14,520.8,359,31.7,32.0,0,3.0,0,1919.8,0,16.61,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.89,54,530,5.3,0,0,0,1,0
18,10.78,104,0.36,0.37,0.37,11.3,11.4,11.4,10.95,-4.4,0.07,0.06,0.5,208.0,5.5,193,1,1,344,686,410,-2,432,11.13,520.3,360,31.8,31.9,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.93,44.89,53,530,5.3,0,0,0,1,0
19,10.8,176,0.36,0.37,0.37,11.4,11.2,11.3,10.98,-5.0,-0.06,0.04,0.5,208.5,6.1,193,1,1,341,686,406,2,426,11.1,519.4,357,31.1,31.5,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.89,53,530,5.2,0,0,0,1,0
20,10.81,248,0.36,0.37,0.37,11.6,11.1,11.3,10.98,-6.7,0.02,0.04,0.5,208.5,5.5,193,1,1,348,686,415,0,434,11.1,519.7,361,31.8,31.9,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,32.0,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,520,5.2,0,0,0,1,0
21,10.81,320,0.36,0.37,0.37,11.6,10.8,11.3,11.06,-9.3,0.01,0.06,0.5,208.2,6.6,194,1,1,344,686,410,0,433,11.11,522.6,362,31.4,31.6,0,3.0,0,1978.7,0,16.7,12.0,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,34,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,54,520,5.3,0,0,0,1,0
22,10.79,32,0.36,0.37,0.37,11.3,11.1,11.4,10.99,-8.7,-0.02,0.04,0.5,208.2,5.3,194,1,1,348,686,414,1,430,11.1,523.6,361,31.2,31.6,0,3.0,0,1978.7,0,16.7,11.9,35.4,34.1,38.2,36.2,38.4,36.4,31.9,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,54,520,5.3,0,0,0,1,0
23,10.77,104,0.36,0.37,0.37,11.2,11.3,11.3,10.96,-9.7,0.02,0.02,0.5,208.6,6.6,194,1,1,347,686,413,-2,435,11.12,523.0,359,31.3,31.6,0,3.0,0,1978.7,0,16.7,11.9,35.4,34.1,38.2,36.2,38.4,36.4,31.8,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,40,44,41,40,40,41,44.91,44.94,44.88,54,520,5.3,0,0,0,1,0
24,10.76,176,0.36,0.37,0.37,11.3,11.3,11.3,10.9,-9.3,0.0,0.09,0.5,207.9,5.8,194,1,1,342,686,407,1,426,11.11,521.0,359,31.4,31.6,0,3.0,0,1978.7,0,16.7,11.9,35.4,34.1,38.2,36.2,38.4,36.4,31.8,32.2,58.2,58.7,33,40,19.2,22.8,34,34,33,0.5,26,26,25,41,44,41,40,40,41,44.91,44.94,44.88,53,530,5.3,0,0,0,1,0
